class	model	mode	config	flags	exit	raw	unique	canon-sha256	note
failing	i40_integers_strings_assignment	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	1	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Exception in thread "main" org.clafer.ast.JoinSetWithStringException
failing	oclBench_b1	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	1	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Exception in thread "main" org.clafer.ast.JoinSetWithStringException
failing	reals	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ReferenceError: "real" is not defined. 
failing	gi29-subset-nested-abstracts	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	fa648cb12eca0e182e072243f8d23be0d040e94a1a75975ef1b647913f5c1684	compiled from model.cfr
failing	gi30-parent-of-nested-abstract	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	9122f83d18f7ba46c1b0210cdcbad2dcdaab373e5bf8dd9b3584787043e9f0ca	compiled from model.cfr
failing	gi31-constraints-not-inherited	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	f2a4539e9ce15fbfd5f3e8b588decdc71a07d06c3e1b79d3ed66d81adf4de103	compiled from model.cfr
optimization	ACCDemo_attributedFeatureModels	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	4	4	f34be6df7f3d3531f03f6bb724538714161fd4e69760c08a33b091f14b4da64f	
optimization	ClaferToolsDemo_Adding_Quality	instantiate	declared	--search PreferSmallerInstances --minint -128 --maxint 128 -n 300000	0	10	10	3632140882b21557c6d836aa60d1d53c12defa29e39acdc8d083cb0d61e88e86	
optimization	contractorPackaging_large	instantiate	declared	--search PreferSmallerInstances --minint -100 --maxint 100 -n 300000	0	40	40	dab613d9a7fb7d3f468b873b380af476e60f0c49ec0d1437a1594a1aa81f9b49	
optimization	contractorPackaging_medium	instantiate	declared	--search PreferSmallerInstances --minint -100 --maxint 100 -n 300000	0	5	5	eebd09c07ba7ce8c4ab0d2a9594f5b4d2dede777bee34367db8bdc43ea967e5c	
optimization	contractorPackaging_small	instantiate	declared	--search PreferSmallerInstances --minint -100 --maxint 100 -n 300000	0	12	12	be5edbaaee63169ab4f7fb86b722cbb599a7e5b80ca43158d505c4e8ff61856f	
optimization	NECSIS-Workshop_Modeling_Quality_4	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	5	5	3db77e099347240c8277c00167abea0b45505af16fa6b97a2341a8cb094bf026	
solve-negative	i131-incorrect-scope-diag	unsat	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	instantiate produced 0 instances; minUnsat/unsatCore captured
solve-positive	AADL_cruise_control_impl_expanded	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (146 s to the cap)
solve-positive	AADL_simplified	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (25.9 s to the cap); scope 1 is insufficient (InsufficientScopeException)
solve-positive	AADL_with_acc_first_try	excluded	declared	-	-	-	-	-	no termination within 150 s at a 300,001-instance cap
solve-positive	ACCDemo_featureModels	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	80	80	470f5102187d83ea3526644ec208eb648c3f0281ac93e67eb549cf2967135cfe	
solve-positive	ACCDemo_fullClafer	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	5	5	c0450c34269100d90065fae894c23f3cdcfd79f14a9fc05710164bca1f44c43a	
solve-positive	BMM_model	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	00683796de565e7c42d58dab55b024624ff852b154ea7464800768866040bf1e	
solve-positive	books_tutorial	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (1.5 s to the cap); no set-comparable full enumeration
solve-positive	check_unique_ref_names_with_inheritance	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	c7a6c4645d38e8b77f2de0e090f5a4f71f0ffee79778b5452cd089f10b086f55	
solve-positive	ClaferTools_CommandLineArguments	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (25.7 s to the cap); UNSAT at scope 1
solve-positive	ClaferToolsDemo_Existing_Android_Phones	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	324	324	0475d5d8ecb0553a87ef9491c864df5c8c0c6f163c43f5ed1d35fa4fa835a69f	
solve-positive	ClaferToolsDemo_Variant_Derivation	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	2	2	6adb2d871a3137de08ee2801c8d1780e242aeed262776c16d9f04648497dba7b	
solve-positive	constraints	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (8.5 s to the cap)
solve-positive	deployment-example	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	21504	21504	64b6141640e14617ed9695dbc8903ac5686ebb1882ac115dc2f6f5d8eee5d4ca	hash-only: canonical text above STORE_LIMIT (4000000 bytes) dropped after hashing
solve-positive	eCos_model	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	3	3	955a4aa0b7f7ef11682d617516cebaf13bddc8976036251c34974d7c538f5d37	
solve-positive	EDM_Intro	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (19.7 s to the cap)
solve-positive	EDMPoster_Intro	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	30	30	2b15449834fc7dabd116fc0accc515df4f6f8d846a43a7149bd02771a8c08afe	
solve-positive	enforcingInverseReferences	excluded	declared	-	-	-	-	-	no termination within 150 s at a 300,001-instance cap
solve-positive	ESC_FMCSA571.126-model	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	
solve-positive	gi29-subset-nested-abstracts	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	fa648cb12eca0e182e072243f8d23be0d040e94a1a75975ef1b647913f5c1684	
solve-positive	gi30-parent-of-nested-abstract	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	9122f83d18f7ba46c1b0210cdcbad2dcdaab373e5bf8dd9b3584787043e9f0ca	
solve-positive	gi31-constraints-not-inherited	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	f2a4539e9ce15fbfd5f3e8b588decdc71a07d06c3e1b79d3ed66d81adf4de103	
solve-positive	i10	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	8	8	0da323974fce58b59dc74c54de149cfc51a909248ac4e0a78e8d2fd217255362	
solve-positive	i101	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	3	3	497e9792fea6cd1281e51e9a3c3463606055a498addc0efb8fa1a5caaddbee56	
